spkid,full_name,pdes,orbit_id,pha,min_orbit_intersection_dist,epoch,eccentricity,semi_major_axis,perihelion_dist,inclination,mean_anomaly,time_of_perihelion_passage,abs_magnitude
3799280,2018_CF2,2018 CF2,JPL 2,0,0.863,2461000.5,0.5057,1.837,0.908,16.31,57.6,2460855.04,28.0
3799275,2018_CG2,2018 CG2,JPL 24,0,111.0,2461000.5,0.7021,2.01,0.599,20.57,279.53,2461233.15,19.2
3799274,2018_CH2,2018 CH2,JPL 4,0,1.79,2461000.5,0.5325,2.073,0.969,5.44,209.16,2461457.29,28.0
3799276,2018_CJ2,2018 CJ2,JPL 2,0,7.04,2461000.5,0.25,1.24,0.93,26.83,261.29,2461138.81,25.0
3799284,2018_CK2,2018 CK2,JPL 2,0,32.4,2458158.5,0.1925,1.289,1.041,21.07,330.73,2458201.98,25.0
3799285,2018_CL2,2018 CL2,JPL 2,0,13.4,2458158.5,0.6301,2.345,0.867,3.07,349.33,2458197.39,25.8
3799281,2018_CM2,2018 CM2,JPL 3,0,21.5,2461000.5,0.4041,1.686,1.005,3.43,214.87,2461323.0,24.4
3799286,2018_CN2,2018 CN2,JPL 3,0,0.0811,2461000.5,0.4736,1.204,0.634,25.74,278.18,2461110.13,27.8
3799282,2018_CO2,2018 CO2,JPL 26,0,64.5,2461000.5,0.6837,1.878,0.594,14.83,337.97,2461058.01,19.43
3799283,2018_CP2,2018 CP2,JPL 5,0,6.02,2461000.5,0.4638,1.601,0.859,5.05,278.18,2461168.71,24.3
3799298,2018_CR2,2018 CR2,JPL 6,0,8.58,2458160.5,0.3914,1.663,1.012,13.33,354.13,2458173.27,24.2
3799299,2018_CS2,2018 CS2,JPL 6,0,9.52,2461000.5,0.2761,0.8097,0.586,4.26,26.46,2460980.94,25.5
3799305,2018_CT2,2018 CT2,JPL 6,0,92.2,2461000.5,0.3196,1.729,1.176,31.84,128.93,2460703.1,21.46
3799302,2018_CU2,2018 CU2,JPL 4,0,1.53,2461000.5,0.4627,1.737,0.933,1.49,128.8,2460701.23,27.9
3799300,2018_CV2,2018 CV2,JPL 4,0,15.0,2458157.5,0.3137,0.8952,0.614,30.16,104.8,2458067.43,25.56
3799312,2018_CW2,2018 CW2,JPL 14,0,1.79,2461000.5,0.4225,0.7599,0.439,5.1,122.88,2460917.91,25.66
3799301,2018_CX2,2018 CX2,JPL 2,0,16.0,2458159.5,0.5941,2.114,0.858,5.61,345.99,2458203.19,25.5
3799303,2018_CY2,2018 CY2,JPL 19,0,17.4,2461000.5,0.1841,1.128,0.921,26.53,119.19,2460855.54,22.45
3799304,2018_CZ2,2018 CZ2,JPL 13,1,8.23,2461000.5,0.6725,2.178,0.713,5.42,130.62,2460574.45,21.4
3799307,2018_CA3,2018 CA3,JPL 2,0,24.6,2458159.5,0.1269,1.141,0.997,14.36,328.26,2458198.77,23.69
3799306,2018_CB3,2018 CB3,JPL 4,0,15.7,2458161.5,0.6408,1.832,0.658,3.82,27.66,2458091.93,23.03
3799310,2018_CC3,2018 CC3,JPL 2,0,4.18,2458160.5,0.5104,1.851,0.906,9.31,14.31,2458123.94,26.7
3799311,2018_CD3,2018 CD3,JPL 5,0,0.111,2461000.5,0.339,1.401,0.926,2.82,224.84,2461227.8,28.6
3799313,2018_CE3,2018 CE3,JPL 2,0,8.68,2458160.5,0.5481,2.227,1.006,1.83,357.37,2458169.38,27.5
3799309,2018_CF3,2018 CF3,JPL 2,0,2.1,2458160.5,0.5182,2.015,0.971,1.07,351.7,2458184.6,26.6
3799314,2018_CG3,2018 CG3,JPL 4,0,17.8,2458162.5,0.46,1.902,1.027,2.31,356.87,2458170.82,25.8
3799308,2018_CH3,2018 CH3,JPL 4,0,180.0,2461000.5,0.5352,2.613,1.214,24.64,284.29,2461324.88,20.84
3799422,2018_CP3,2018 CP3,JPL 10,0,54.5,2461000.5,0.356,1.499,0.965,23.91,113.66,2460788.81,22.4
3799423,2018_CQ3,2018 CQ3,JPL 11,0,12.4,2461000.5,0.1455,1.169,0.999,4.0,87.39,2460888.49,25.2
3799425,2018_CR3,2018 CR3,JPL 4,0,2.1,2458160.5,0.6473,1.443,0.509,3.12,329.79,2458213.63,25.63
3799424,2018_CS3,2018 CS3,JPL 3,0,58.2,2458161.5,0.4143,1.882,1.102,6.94,14.27,2458124.13,24.7
3799426,2018_CT3,2018 CT3,JPL 6,0,5.13,2458162.5,0.3067,1.156,0.801,20.32,311.58,2458223.55,22.88
3799639,2018_CU13,2018 CU13,JPL 3,0,5.02,2458161.5,0.6145,2.467,0.951,1.13,351.61,2458194.47,26.2
3799636,2018_CV13,2018 CV13,JPL 13,0,73.9,2461000.5,0.1475,1.334,1.137,16.82,143.24,2460776.7,21.29
3799637,2018_CW13,2018 CW13,JPL 41,0,34.4,2461000.5,0.7049,1.611,0.475,28.91,341.28,2461039.33,19.94
3799641,2018_CY13,2018 CY13,JPL 3,0,51.4,2458162.5,0.309,1.369,0.946,17.3,318.97,2458229.14,24.2
3799643,2018_CZ13,2018 CZ13,JPL 24,0,25.7,2461000.5,0.4774,2.042,1.067,1.24,219.48,2461416.45,23.75
3799645,2018_CA14,2018 CA14,JPL 6,0,40.7,2461000.5,0.1554,0.9466,0.8,10.6,336.3,2461022.65,24.4
